Episode,ta41,ta42,ta43,ta44,ta45,ta46,ta47,ta48,ta49,ta50,sum,FIFO,MTWR
277,2254,2170,2119,2279,2231,2322,2128,2246,2176,2194,22119,25494,24487
278,2254,2170,2119,2279,2231,2322,2128,2233,2176,2194,22106,25494,24487
279,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
280,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
281,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
282,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
283,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
284,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
285,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
286,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
287,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
288,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
289,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
290,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
291,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
292,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
293,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
294,2254,2170,2119,2279,2231,2310,2128,2233,2176,2194,22094,25494,24487
295,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
296,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
297,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
298,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
299,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
300,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
301,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
302,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
303,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
304,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
305,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
306,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
307,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
308,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
309,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
310,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
311,2254,2170,2119,2279,2223,2310,2128,2233,2176,2194,22086,25494,24487
312,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
313,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
314,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
315,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
316,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
317,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
318,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
319,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
320,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
321,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
322,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
323,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
324,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
325,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
326,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
327,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
328,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
329,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
330,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
331,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
332,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
333,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
334,2254,2170,2119,2279,2223,2310,2128,2206,2176,2194,22059,25494,24487
