Episode,ta41,ta42,ta43,ta44,ta45,,sum
757,2254,2170,2119,,,,6543
758,2254,2170,2119,,,,6543
759,2254,2170,2119,,,,6543
760,2254,2170,2119,,,,6543
761,2254,2170,2119,,,,6543
762,2254,2170,2119,,,,6543
763,2254,2170,2119,,,,6543
764,2254,2170,2119,,,,6543
765,2254,2170,2119,,,,6543
766,2254,2170,2119,,,,6543
767,2254,2170,2119,,,,6543
768,2254,2170,2119,,,,6543
769,2254,2170,2119,,,,6543
770,2254,2170,2119,,,,6543
771,2254,2170,2119,,,,6543
772,2254,2170,2119,,,,6543
773,2254,2170,2119,,,,6543
774,2254,2170,2119,,,,6543
775,2254,2170,2119,,,,6543
776,2254,2170,2119,,,,6543
777,2254,2170,2119,,,,6543
778,2254,2170,2119,,,,6543
779,2254,2170,2119,,,,6543
780,2254,2170,2119,,,,6543
781,2254,2170,2119,,,,6543
782,2254,2170,2119,,,,6543
783,2254,2170,2119,,,,6543
784,2254,2170,2119,,,,6543
785,2254,2170,2119,,,,6543
786,2254,2170,2119,,,,6543
787,2254,2170,2119,,,,6543
788,2254,2170,2119,,,,6543
789,2254,2170,2119,,,,6543
790,2254,2170,2119,,,,6543
791,2254,2170,2119,,,,6543
792,2254,2170,2119,,,,6543
793,2254,2170,2119,,,,6543
794,2254,2170,2119,,,,6543
795,2254,2170,2119,,,,6543
796,2254,2170,2119,,,,6543
797,2254,2170,2119,,,,6543
798,2254,2170,2119,,,,6543
799,2254,2170,2119,,,,6543
800,2254,2170,2119,,,,6543
801,2254,2170,2119,,,,6543
802,2254,2170,2119,,,,6543
803,2254,2170,2119,,,,6543
804,2254,2170,2119,,,,6543
805,2254,2170,2119,,,,6543
806,2254,2170,2119,,,,6543
807,2254,2170,2119,,,,6543
808,2254,2170,2119,,,,6543
809,2254,2170,2119,,,,6543
810,2254,2170,2119,,,,6543
811,2254,2170,2119,,,,6543
812,2254,2170,2119,,,,6543
813,2254,2170,2119,,,,6543
814,2254,2170,2119,,,,6543
815,2254,2170,2119,,,,6543
